history_id,account_id,status_timestamp,status
H00000001,A000001,2025-01-13,ACTIVE
H00000002,A000002,2024-03-15,ACTIVE
H00000003,A000003,2024-08-29,ACTIVE
H00000004,A000003,2026-02-27,CLOSED
H00000005,A000004,2025-07-07,ACTIVE
H00000006,A000005,2025-05-31,ACTIVE
H00000007,A000006,2024-03-02,ACTIVE
H00000008,A000007,2024-03-04,ACTIVE
H00000009,A000008,2026-01-28,ACTIVE
H00000010,A000009,2026-04-29,ACTIVE
H00000011,A000010,2025-09-30,ACTIVE
H00000012,A000011,2026-01-29,ACTIVE
H00000013,A000011,2026-09-11,WRITTEN_OFF
H00000014,A000012,2025-11-11,ACTIVE
H00000015,A000012,2027-04-19,CLOSED
H00000016,A000013,2024-03-14,ACTIVE
H00000017,A000014,2024-09-05,ACTIVE
H00000018,A000015,2024-04-09,ACTIVE
H00000019,A000016,2024-09-11,ACTIVE
H00000020,A000017,2026-02-11,ACTIVE
H00000021,A000017,2027-07-19,CLOSED
H00000022,A000018,2026-02-08,ACTIVE
H00000023,A000019,2024-09-12,ACTIVE
H00000024,A000020,2025-03-06,ACTIVE
H00000025,A000021,2024-01-16,ACTIVE
H00000026,A000022,2025-03-24,ACTIVE
H00000027,A000023,2026-05-10,ACTIVE
H00000028,A000024,2025-05-10,ACTIVE
H00000029,A000024,2025-10-20,CLOSED
H00000030,A000025,2025-02-03,ACTIVE
H00000031,A000025,2025-09-12,CLOSED
H00000032,A000026,2026-04-28,ACTIVE
H00000033,A000027,2024-11-11,ACTIVE
H00000034,A000028,2025-09-19,ACTIVE
H00000035,A000028,2027-03-14,CLOSED
H00000036,A000029,2024-05-12,ACTIVE
H00000037,A000030,2025-12-02,ACTIVE
H00000038,A000031,2025-12-02,ACTIVE
H00000039,A000032,2026-02-08,ACTIVE
H00000040,A000033,2025-03-22,ACTIVE
H00000041,A000034,2024-01-31,ACTIVE
H00000042,A000035,2024-04-15,ACTIVE
H00000043,A000036,2024-05-07,ACTIVE
H00000044,A000037,2024-11-04,ACTIVE
H00000045,A000038,2025-01-30,ACTIVE
H00000046,A000039,2026-01-09,ACTIVE
H00000047,A000040,2025-09-08,ACTIVE
H00000048,A000040,2026-07-19,WRITTEN_OFF
H00000049,A000041,2025-05-16,ACTIVE
H00000050,A000042,2025-01-23,ACTIVE
H00000051,A000043,2024-06-02,ACTIVE
H00000052,A000043,2025-12-29,CLOSED
H00000053,A000044,2025-02-04,ACTIVE
H00000054,A000045,2024-04-20,ACTIVE
H00000055,A000046,2026-04-15,ACTIVE
H00000056,A000047,2026-03-31,ACTIVE
H00000057,A000048,2024-04-29,ACTIVE
