account_id,borrower_id,client,dpd,outstanding_amount,account_open_date,status
A000001,B00597,Client_A,120,63059.0,2025-01-13,ACTIVE
A000002,B01973,Client_B,120,21367.0,2024-03-15,ACTIVE
A000003,B02793,Client_D,30,17188.0,2024-08-29,CLOSED
A000004,B01529,Client_B,150,11353.0,2025-07-07,ACTIVE
A000005,B01720,Client_D,30,8779.0,2025-05-31,ACTIVE
A000006,B00633,Client_A,30,85540.0,2024-03-02,ACTIVE
A000007,B02606,Client_B,90,18656.0,2024-03-04,ACTIVE
A000008,B01387,Client_B,150,20929.0,2026-01-28,ACTIVE
A000009,B01203,Client_C,15,16288.0,2026-04-29,ACTIVE
A000010,B01441,Client_C,45,36056.0,2025-09-30,ACTIVE
A000011,B01045,Client_C,75,15506.0,2026-01-29,WRITTEN_OFF
A000012,B02316,Client_A,120,55373.0,2025-11-11,CLOSED
A000013,B01446,Client_D,150,26886.0,2024-03-14,ACTIVE
A000014,B01896,Client_A,75,28599.0,2024-09-05,ACTIVE
A000015,B00264,Client_A,45,28849.0,2024-04-09,ACTIVE
A000016,B01364,Client_A,60,125533.0,2024-09-11,ACTIVE
A000017,B01578,Client_C,15,28986.0,2026-02-11,CLOSED
A000018,B01224,Client_A,120,6283.0,2026-02-08,ACTIVE
A000019,B01782,Client_A,90,52471.0,2024-09-12,ACTIVE
A000020,B01541,Client_C,45,22046.0,2025-03-06,ACTIVE
A000021,B02348,Client_A,45,26281.0,2024-01-16,ACTIVE
A000022,B01108,Client_A,150,32073.0,2025-03-24,ACTIVE
A000023,B01281,Client_A,150,38845.0,2026-05-10,ACTIVE
A000024,B01445,Client_D,60,32428.0,2025-05-10,CLOSED
A000025,B00994,Client_D,120,18172.0,2025-02-03,CLOSED
A000026,B00513,Client_B,180,82359.0,2026-04-28,ACTIVE
A000027,B00865,Client_C,15,29891.0,2024-11-11,ACTIVE
A000028,B02200,Client_B,150,6843.0,2025-09-19,CLOSED
A000029,B01348,Client_C,180,26374.0,2024-05-12,ACTIVE
A000030,B00540,Client_A,90,10276.0,2025-12-02,ACTIVE
A000031,B01099,Client_A,150,14156.0,2025-12-02,ACTIVE
A000032,B01905,Client_B,150,17456.0,2026-02-08,ACTIVE
A000033,B02797,Client_A,45,6509.0,2025-03-22,ACTIVE
A000034,B01807,Client_A,15,22980.0,2024-01-31,ACTIVE
A000035,B02198,Client_B,75,22942.0,2024-04-15,ACTIVE
A000036,B00858,Client_D,75,22570.0,2024-05-07,ACTIVE
A000037,B00442,Client_B,90,21681.0,2024-11-04,ACTIVE
A000038,B02755,Client_A,45,13918.0,2025-01-30,ACTIVE
A000039,B01774,Client_B,30,16759.0,2026-01-09,ACTIVE
A000040,B00219,Client_A,60,9326.0,2025-09-08,WRITTEN_OFF
A000041,B01001,Client_B,30,19500.0,2025-05-16,ACTIVE
A000042,B01883,Client_C,75,14399.0,2025-01-23,ACTIVE
A000043,B00234,Client_B,30,7142.0,2024-06-02,CLOSED
A000044,B00197,Client_C,45,18145.0,2025-02-04,ACTIVE
A000045,B02477,Client_A,60,33398.0,2024-04-20,ACTIVE
A000046,B02147,Client_D,75,16116.0,2026-04-15,ACTIVE
A000047,B00835,Client_A,30,32329.0,2026-03-31,ACTIVE
A000048,B00482,Client_B,90,74147.0,2024-04-29,CLOSED
A000049,B02413,Client_C,150,16024.0,2025-08-24,ACTIVE
A000050,B01358,Client_C,150,42652.0,2025-01-19,CLOSED
A000051,B01692,Client_C,60,10436.0,2025-08-02,ACTIVE
A000052,B02690,Client_B,90,26333.0,2026-01-07,WRITTEN_OFF
A000053,B01051,Client_C,75,21307.0,2025-10-21,CLOSED
A000054,B02615,Client_A,60,10298.0,2024-08-03,ACTIVE
A000055,B00857,Client_A,180,26008.0,2024-08-25,ACTIVE
A000056,B01716,Client_B,75,8465.0,2024-01-03,ACTIVE
A000057,B01902,Client_A,180,9158.0,2026-02-05,CLOSED
A000058,B00956,Client_C,30,24557.0,2024-11-11,ACTIVE
A000059,B00924,Client_C,90,32352.0,2025-10-30,ACTIVE
A000060,B00576,Client_C,75,27837.0,2026-03-21,ACTIVE
