borrower_id,client,geography,language,borrower_segment,income_band
B00001,Client_A,South,Tamil,Self_Employed,40K-70K
B00002,Client_C,South,English,Salaried,>70K
B00003,Client_B,East,Bengali,Self_Employed,<20K
B00004,Client_C,North,Bengali,Informal,40K-70K
B00005,Client_D,North,Hindi,Salaried,>70K
B00006,Client_B,South,Tamil,Self_Employed,40K-70K
B00007,Client_B,North,Hindi,Self_Employed,<20K
B00008,Client_A,West,Bengali,Informal,>70K
B00009,Client_A,South,Hindi,Self_Employed,40K-70K
B00010,Client_B,South,Hindi,Salaried,>70K
B00011,Client_C,East,Bengali,Salaried,>70K
B00012,Client_C,South,Telugu,Self_Employed,<20K
B00013,Client_B,West,Hindi,Self_Employed,20K-40K
B00014,Client_A,East,Telugu,Self_Employed,>70K
B00015,Client_A,South,Hindi,Self_Employed,20K-40K
B00016,Client_D,North,Telugu,Salaried,>70K
B00017,Client_A,East,Bengali,Self_Employed,40K-70K
B00018,Client_B,North,English,Salaried,<20K
B00019,Client_D,South,English,Salaried,20K-40K
B00020,Client_A,West,Hindi,Salaried,<20K
B00021,Client_B,North,Telugu,Informal,>70K
B00022,Client_D,East,Tamil,Salaried,20K-40K
B00023,Client_A,North,Hindi,Salaried,20K-40K
B00024,Client_B,South,Bengali,Self_Employed,<20K
B00025,Client_D,South,Tamil,Self_Employed,>70K
B00026,Client_A,South,Hindi,Salaried,40K-70K
B00027,Client_B,South,Bengali,Self_Employed,20K-40K
B00028,Client_C,East,Telugu,Self_Employed,<20K
B00029,Client_C,South,Tamil,Self_Employed,20K-40K
B00030,Client_B,North,Hindi,Salaried,40K-70K
B00031,Client_A,South,English,Self_Employed,<20K
B00032,Client_B,North,Bengali,Salaried,40K-70K
B00033,Client_B,West,English,Self_Employed,>70K
B00034,Client_B,West,Tamil,Salaried,<20K
B00035,Client_B,South,English,Salaried,20K-40K
B00036,Client_C,South,English,Self_Employed,20K-40K
B00037,Client_C,North,Bengali,Informal,20K-40K
B00038,Client_A,West,Telugu,Salaried,<20K
B00039,Client_B,South,Tamil,Salaried,20K-40K
