attempt_id,call_id,account_id,attempt_timestamp,agent_id,channel
ATT000000001,CALL00000001,A001069,2026-06-22 14:19:00,AG0100,Human Calling
ATT000000002,CALL00000002,A001509,2026-05-27 21:15:00,AG0016,IVR
ATT000000003,CALL00000003,A001137,2025-09-06 19:18:00,AG0097,Human Calling
ATT000000004,CALL00000004,A001740,2026-02-14 20:18:00,AG0043,AI Voice
ATT000000005,CALL00000005,A001832,2025-11-20 11:34:00,AG0107,Human Calling
ATT000000006,CALL00000006,A002073,2025-11-25 17:29:00,AG0109,AI Voice
ATT000000007,CALL00000007,A000813,2026-08-03 10:41:00,AG0048,Predictive Dialer
ATT000000008,CALL00000008,A002569,2026-04-26 18:08:00,AG0078,Predictive Dialer
ATT000000009,CALL00000009,A000076,2025-12-06 09:57:00,AG0029,Human Calling
ATT000000010,CALL00000010,A002134,2026-05-17 06:39:00,AG0039,Human Calling
ATT000000011,CALL00000011,A003142,2026-05-19 18:01:00,AG0102,Human Calling
ATT000000012,CALL00000012,A002286,2026-07-19 17:46:00,AG0100,Human Calling
ATT000000013,CALL00000013,A002229,2026-07-16 17:22:00,AG0097,Human Calling
ATT000000014,CALL00000014,A003464,2026-01-09 22:38:00,AG0077,Predictive Dialer
ATT000000015,CALL00000015,A003891,2025-12-26 18:34:00,AG0001,Human Calling
ATT000000016,CALL00000016,A001316,2025-09-01 17:44:00,AG0059,Predictive Dialer
ATT000000017,CALL00000017,A003250,2025-12-21 19:26:00,AG0099,Predictive Dialer
ATT000000018,CALL00000018,A002134,2026-04-12 21:45:00,AG0075,Predictive Dialer
ATT000000019,CALL00000019,A001540,2025-12-23 07:19:00,AG0014,AI Voice
ATT000000020,CALL00000020,A000197,2026-03-02 09:45:00,AG0032,Predictive Dialer
ATT000000021,CALL00000021,A002510,2025-11-21 23:20:00,AG0006,Human Calling
ATT000000022,CALL00000022,A002702,2026-01-12 11:46:00,AG0070,IVR
ATT000000023,CALL00000023,A002050,2025-11-02 13:14:00,AG0009,Human Calling
ATT000000024,CALL00000024,A002783,2026-05-27 19:23:00,AG0060,AI Voice
ATT000000025,CALL00000025,A002914,2026-07-13 15:37:00,AG0070,Human Calling
ATT000000026,CALL00000026,A004177,2025-11-19 23:09:00,AG0064,IVR
ATT000000027,CALL00000027,A002988,2025-11-11 17:42:00,AG0092,IVR
ATT000000028,CALL00000028,A000189,2026-01-11 11:31:00,AG0021,Predictive Dialer
ATT000000029,CALL00000029,A001489,2026-05-05 18:46:00,AG0116,Human Calling
ATT000000030,CALL00000030,A002815,2025-12-04 08:01:00,AG0008,IVR
ATT000000031,CALL00000031,A002792,2026-04-20 12:06:00,AG0105,Predictive Dialer
ATT000000032,CALL00000032,A001211,2025-12-04 08:14:00,AG0067,AI Voice
ATT000000033,CALL00000033,A000979,2026-05-26 20:29:00,AG0097,AI Voice
ATT000000034,CALL00000034,A002250,2026-03-27 10:10:00,AG0114,IVR
ATT000000035,CALL00000035,A003792,2026-07-08 08:25:00,AG0095,Predictive Dialer
ATT000000036,CALL00000036,A000458,2025-10-19 13:48:00,AG0006,Predictive Dialer
ATT000000037,CALL00000037,A001962,2026-07-26 12:53:00,AG0096,AI Voice
ATT000000038,CALL00000038,A002756,2025-10-24 15:02:00,AG0065,Human Calling
ATT000000039,CALL00000039,A004199,2025-10-15 23:37:00,AG0091,Human Calling
ATT000000040,CALL00000040,A000701,2026-04-22 06:38:00,AG0091,Predictive Dialer
ATT000000041,CALL00000041,A002854,2026-07-03 15:41:00,AG0073,Human Calling
ATT000000042,CALL00000042,A002980,2026-02-17 07:26:00,AG0065,Predictive Dialer
ATT000000043,CALL00000043,A003315,2026-08-08 12:14:00,AG0038,Human Calling
ATT000000044,CALL00000044,A003011,2026-01-08 23:21:00,AG0006,Human Calling
ATT000000045,CALL00000045,A001971,2025-12-05 15:31:00,AG0073,Human Calling
ATT000000046,CALL00000046,A002089,2026-01-13 07:02:00,AG0077,Human Calling
ATT000000047,CALL00000047,A000468,2025-10-02 14:15:00,AG0049,Predictive Dialer
ATT000000048,CALL00000048,A002408,2026-02-12 14:32:00,AG0041,Predictive Dialer
ATT000000049,CALL00000049,A002112,2026-07-17 17:46:00,AG0036,Predictive Dialer
ATT000000050,CALL00000050,A000116,2025-12-15 09:04:00,AG0009,Predictive Dialer
ATT000000051,CALL00000051,A003943,2025-10-13 10:41:00,AG0009,Human Calling
ATT000000052,CALL00000052,A000831,2026-08-14 20:02:00,AG0014,Predictive Dialer
ATT000000053,CALL00000053,A001065,2026-05-19 12:06:00,AG0099,Predictive Dialer
ATT000000054,CALL00000054,A003527,2026-01-21 06:08:00,AG0117,AI Voice
ATT000000055,CALL00000055,A004142,2025-12-08 11:26:00,AG0044,Predictive Dialer
ATT000000056,CALL00000056,A002231,2026-04-27 10:15:00,AG0099,AI Voice
ATT000000057,CALL00000057,A001934,2026-08-21 12:05:00,AG0054,Predictive Dialer
