disposition_id,call_id,raw_disposition_code,disposition_timestamp
DISP000000001,CALL00000001,NA,2026-06-22 14:19:00
DISP000000002,CALL00000002,CONNECTED,2026-05-27 21:15:00
DISP000000003,CALL00000003,ANSWERED,2025-09-06 19:18:00
DISP000000004,CALL00000004,WRONG_PARTY,2026-02-14 20:18:00
DISP000000005,CALL00000005,BUSY,2025-11-20 11:34:00
DISP000000006,CALL00000006,NO_ANSWER,2025-11-25 17:29:00
DISP000000007,CALL00000007,NA,2026-08-03 10:41:00
DISP000000008,CALL00000008,CONNECTED,2026-04-26 18:08:00
DISP000000009,CALL00000009,NO_ANSWER,2025-12-06 09:57:00
DISP000000010,CALL00000010,BUSY,2026-05-17 06:39:00
DISP000000011,CALL00000011,CONNECTED,2026-05-19 18:01:00
DISP000000012,CALL00000012,NA,2026-07-19 17:46:00
DISP000000013,CALL00000013,NA,2026-07-16 17:22:00
DISP000000014,CALL00000014,NO_ANSWER,2026-01-09 22:38:00
DISP000000015,CALL00000015,NO_ANSWER,2025-12-26 18:34:00
DISP000000016,CALL00000016,NO_ANSWER,2025-09-01 17:44:00
DISP000000017,CALL00000017,ANSWERED,2025-12-21 19:26:00
DISP000000018,CALL00000018,NA,2026-04-12 21:45:00
DISP000000019,CALL00000019,NO_ANSWER,2025-12-23 07:19:00
DISP000000020,CALL00000020,NO_ANSWER,2026-03-02 09:45:00
DISP000000021,CALL00000021,BUSY,2025-11-21 23:20:00
DISP000000022,CALL00000022,PTP,2026-01-12 11:46:00
DISP000000023,CALL00000023,NO_ANSWER,2025-11-02 13:14:00
DISP000000024,CALL00000024,NA,2026-05-27 19:23:00
DISP000000025,CALL00000025,CONNECTED,2026-07-13 15:37:00
DISP000000026,CALL00000026,ANSWERED,2025-11-19 23:09:00
DISP000000027,CALL00000027,WRONG_PARTY,2025-11-11 17:42:00
DISP000000028,CALL00000028,NO_ANSWER,2026-01-11 11:31:00
DISP000000029,CALL00000029,CONNECTED,2026-05-05 18:46:00
DISP000000030,CALL00000030,BUSY,2025-12-04 08:01:00
DISP000000031,CALL00000031,CONNECTED,2026-04-20 12:06:00
DISP000000032,CALL00000032,NO_ANSWER,2025-12-04 08:14:00
DISP000000033,CALL00000033,NA,2026-05-26 20:29:00
DISP000000034,CALL00000034,ANSWERED,2026-03-27 10:10:00
DISP000000035,CALL00000035,CONNECTED,2026-07-08 08:25:00
DISP000000036,CALL00000036,NO_ANSWER,2025-10-19 13:48:00
DISP000000037,CALL00000037,CONNECTED,2026-07-26 12:53:00
DISP000000038,CALL00000038,ANSWERED,2025-10-24 15:02:00
DISP000000039,CALL00000039,NO_ANSWER,2025-10-15 23:37:00
DISP000000040,CALL00000040,NA,2026-04-22 06:38:00
DISP000000041,CALL00000041,WRONG_NUMBER,2026-07-03 15:41:00
DISP000000042,CALL00000042,WRONG_PARTY,2026-02-17 07:26:00
DISP000000043,CALL00000043,PROMISE,2026-08-08 12:14:00
DISP000000044,CALL00000044,ANSWERED,2026-01-08 23:21:00
DISP000000045,CALL00000045,NO_ANSWER,2025-12-05 15:31:00
DISP000000046,CALL00000046,ANSWERED,2026-01-13 07:02:00
DISP000000047,CALL00000047,ANSWERED,2025-10-02 14:15:00
DISP000000048,CALL00000048,WRONG_PARTY,2026-02-12 14:32:00
DISP000000049,CALL00000049,PROMISE,2026-07-17 17:46:00
DISP000000050,CALL00000050,ANSWERED,2025-12-15 09:04:00
DISP000000051,CALL00000051,ANSWERED,2025-10-13 10:41:00
DISP000000052,CALL00000052,BUSY,2026-08-14 20:02:00
DISP000000053,CALL00000053,NA,2026-05-19 12:06:00
DISP000000054,CALL00000054,BUSY,2026-01-21 06:08:00
DISP000000055,CALL00000055,PTP,2025-12-08 11:26:00
DISP000000056,CALL00000056,NA,2026-04-27 10:15:00
DISP000000057,CALL00000057,NA,2026-08-21 12:05:00
DISP000000058,CALL00000058,ANSWERED,2026-02-27 21:33:00
DISP000000059,CALL00000059,CONNECTED,2026-05-21 10:02:00
DISP000000060,CALL00000060,NA,2026-08-10 06:30:00
DISP000000061,CALL00000061,ANSWERED,2026-01-16 13:50:00
DISP000000062,CALL00000062,CONNECTED,2026-05-17 22:01:00
DISP000000063,CALL00000063,WRONG_PARTY,2025-10-25 07:53:00
DISP000000064,CALL00000064,NA,2026-07-24 20:03:00
DISP000000065,CALL00000065,CONNECTED,2026-04-24 12:05:00
DISP000000066,CALL00000066,NA,2026-08-07 12:21:00
DISP000000067,CALL00000067,PTP,2026-02-11 13:58:00
DISP000000068,CALL00000068,PROMISE,2026-06-16 06:18:00
DISP000000069,CALL00000069,NO_ANSWER,2025-09-25 06:12:00
DISP000000070,CALL00000070,ANSWERED,2026-02-23 23:01:00
DISP000000071,CALL00000071,ANSWERED,2026-01-19 19:56:00
DISP000000072,CALL00000072,ANSWERED,2026-02-01 07:29:00
DISP000000073,CALL00000073,NO_ANSWER,2026-03-05 23:07:00
DISP000000074,CALL00000074,NO_ANSWER,2025-10-10 12:27:00
DISP000000075,CALL00000075,NO_ANSWER,2025-09-22 22:37:00
DISP000000076,CALL00000076,NA,2026-04-12 12:22:00
DISP000000077,CALL00000077,WRONG_NUMBER,2026-05-26 16:57:00
DISP000000078,CALL00000078,WRONG_PARTY,2026-02-02 07:19:00
DISP000000079,CALL00000079,WRONG_PARTY,2025-11-10 17:13:00
DISP000000080,CALL00000080,NO_ANSWER,2026-03-10 12:13:00
DISP000000081,CALL00000081,BUSY,2026-04-09 07:12:00
DISP000000082,CALL00000082,NO_ANSWER,2025-10-26 18:28:00
DISP000000083,CALL00000083,BUSY,2026-06-09 15:59:00
DISP000000084,CALL00000084,CONNECTED,2026-06-17 07:39:00
DISP000000085,CALL00000085,BUSY,2026-07-09 11:13:00
DISP000000086,CALL00000086,CONNECTED,2026-05-25 16:43:00
DISP000000087,CALL00000087,NO_ANSWER,2026-01-04 08:34:00
DISP000000088,CALL00000088,NA,2026-08-02 11:45:00
DISP000000089,CALL00000089,CONNECTED,2026-06-12 23:41:00
DISP000000090,CALL00000090,WRONG_PARTY,2026-01-21 09:28:00
DISP000000091,CALL00000091,NA,2026-04-26 23:23:00
DISP000000092,CALL00000092,NO_ANSWER,2025-12-25 16:29:00
DISP000000093,CALL00000093,PTP,2025-10-16 18:34:00
DISP000000094,CALL00000094,NA,2026-05-17 18:33:00
DISP000000095,CALL00000095,PTP,2026-02-18 06:04:00
DISP000000096,CALL00000096,NO_ANSWER,2026-02-23 15:51:00
DISP000000097,CALL00000097,NO_ANSWER,2026-03-10 13:46:00
DISP000000098,CALL00000098,WRONG_PARTY,2025-11-26 07:25:00
DISP000000099,CALL00000099,NO_ANSWER,2026-01-21 21:48:00
DISP000000100,CALL00000100,NA,2026-07-25 14:17:00
DISP000000101,CALL00000101,WRONG_NUMBER,2026-06-25 18:21:00
DISP000000102,CALL00000102,ANSWERED,2026-03-01 11:57:00
DISP000000103,CALL00000103,NO_ANSWER,2026-03-12 14:10:00
DISP000000104,CALL00000104,NA,2026-06-02 15:42:00
DISP000000105,CALL00000105,NO_ANSWER,2025-11-20 13:56:00
DISP000000106,CALL00000106,NO_ANSWER,2025-12-03 13:27:00
DISP000000107,CALL00000107,NA,2026-04-16 18:00:00
DISP000000108,CALL00000108,BUSY,2026-05-10 14:37:00
DISP000000109,CALL00000109,WRONG_NUMBER,2026-05-05 14:53:00
DISP000000110,CALL00000110,NO_ANSWER,2026-03-11 16:06:00
DISP000000111,CALL00000111,NA,2026-04-25 23:30:00
DISP000000112,CALL00000112,BUSY,2025-11-27 18:03:00
DISP000000113,CALL00000113,BUSY,2026-06-24 14:52:00
DISP000000114,CALL00000114,PROMISE,2026-06-11 10:15:00
DISP000000115,CALL00000115,NA,2026-06-18 07:34:00
DISP000000116,CALL00000116,WRONG_PARTY,2026-01-16 16:04:00
DISP000000117,CALL00000117,CONNECTED,2026-08-10 14:09:00
DISP000000118,CALL00000118,PROMISE,2026-08-18 06:24:00
DISP000000119,CALL00000119,NO_ANSWER,2025-12-15 09:53:00
DISP000000120,CALL00000120,PTP,2025-09-13 10:52:00
DISP000000121,CALL00000121,NO_ANSWER,2025-11-15 11:29:00
DISP000000122,CALL00000122,CONNECTED,2026-04-27 19:45:00
DISP000000123,CALL00000123,BUSY,2026-02-07 06:22:00
DISP000000124,CALL00000124,NA,2026-08-13 08:00:00
DISP000000125,CALL00000125,BUSY,2025-11-12 14:12:00
DISP000000126,CALL00000126,NA,2026-05-05 17:46:00
DISP000000127,CALL00000127,PTP,2025-12-05 12:07:00
