session_id,agent_id,session_date,logged_hours,productive_hours
S00000001,AG0001,2025-09-03,7.28,5.54
S00000002,AG0001,2025-09-08,5.2,5.29
S00000003,AG0001,2025-09-20,5.53,6.55
S00000004,AG0001,2025-09-14,8.36,7.08
S00000005,AG0001,2025-09-05,6.76,4.71
S00000006,AG0001,2025-09-20,6.63,5.28
S00000007,AG0001,2025-09-20,6.78,6.62
S00000008,AG0001,2025-09-03,6.81,3.9
S00000009,AG0002,2025-09-14,5.64,5.23
S00000010,AG0002,2025-09-02,6.05,4.63
S00000011,AG0002,2025-09-01,6.85,5.22
S00000012,AG0002,2025-09-25,4.77,4.09
S00000013,AG0002,2025-09-24,7.93,7.18
S00000014,AG0002,2025-09-22,6.54,5.37
S00000015,AG0002,2025-09-26,8.53,5.54
S00000016,AG0002,2025-09-22,7.32,5.57
S00000017,AG0002,2025-09-25,5.49,5.54
S00000018,AG0002,2025-09-10,8.58,5.05
S00000019,AG0002,2025-09-03,5.41,5.51
S00000020,AG0002,2025-09-24,7.45,5.59
S00000021,AG0002,2025-09-20,6.43,4.14
S00000022,AG0002,2025-09-11,6.91,6.7
S00000023,AG0003,2025-09-10,7.61,4.42
S00000024,AG0003,2025-09-22,6.04,4.86
S00000025,AG0003,2025-09-08,7.84,5.92
S00000026,AG0003,2025-09-07,8.29,4.56
S00000027,AG0003,2025-09-21,8.36,6.01
S00000028,AG0003,2025-09-25,6.73,3.59
S00000029,AG0003,2025-09-27,7.57,5.95
S00000030,AG0003,2025-09-20,6.9,6.21
S00000031,AG0003,2025-09-03,6.83,4.64
S00000032,AG0003,2025-09-23,6.94,4.15
S00000033,AG0003,2025-09-13,7.29,7.28
S00000034,AG0003,2025-09-07,6.19,4.47
S00000035,AG0003,2025-09-23,4.28,5.09
S00000036,AG0004,2025-09-07,8.24,4.92
S00000037,AG0004,2025-09-09,7.0,5.95
S00000038,AG0004,2025-09-06,7.23,4.44
S00000039,AG0004,2025-09-20,6.99,5.51
S00000040,AG0004,2025-09-16,6.23,5.79
S00000041,AG0004,2025-09-08,6.58,5.32
S00000042,AG0004,2025-09-13,4.89,5.42
S00000043,AG0005,2025-09-19,6.8,5.28
S00000044,AG0005,2025-09-01,7.31,6.4
S00000045,AG0005,2025-09-18,7.2,5.02
S00000046,AG0005,2025-09-23,5.75,5.39
S00000047,AG0006,2025-09-04,7.6,6.58
S00000048,AG0006,2025-09-10,6.12,4.04
S00000049,AG0006,2025-09-14,6.16,6.17
S00000050,AG0006,2025-09-23,7.19,6.14
S00000051,AG0006,2025-09-04,5.55,4.79
S00000052,AG0006,2025-09-12,6.21,5.37
S00000053,AG0006,2025-09-27,7.56,4.62
S00000054,AG0006,2025-09-25,5.62,4.87
