complaint_id,account_id,complaint_timestamp,complaint_type,status
COMP0000001,A002944,2026-03-25,AGENT_BEHAVIOR,CLOSED
COMP0000002,A003437,2026-06-01,TOO_MANY_CALLS,CLOSED
COMP0000003,A002532,2026-02-26,TOO_MANY_CALLS,OPEN
COMP0000004,A001476,2025-11-19,AGENT_BEHAVIOR,RESOLVED
COMP0000005,A000965,2026-05-19,OTHER,RESOLVED
COMP0000006,A001045,2026-02-03,OTHER,CLOSED
COMP0000007,A002613,2025-12-08,AGENT_BEHAVIOR,RESOLVED
COMP0000008,A000262,2026-02-05,TOO_MANY_CALLS,OPEN
COMP0000009,A004113,2025-10-03,TOO_MANY_CALLS,OPEN
COMP0000010,A000015,2026-02-17,WRONG_PERSON,OPEN
COMP0000011,A003187,2026-01-05,OTHER,RESOLVED
COMP0000012,A002694,2026-03-18,OTHER,RESOLVED
COMP0000013,A000911,2026-08-25,TOO_MANY_CALLS,RESOLVED
COMP0000014,A002496,2026-02-03,AGENT_BEHAVIOR,OPEN
COMP0000015,A002114,2025-12-21,WRONG_PERSON,CLOSED
COMP0000016,A000426,2026-06-04,WRONG_PERSON,OPEN
COMP0000017,A002639,2026-08-25,OTHER,CLOSED
COMP0000018,A003102,2026-04-01,AGENT_BEHAVIOR,OPEN
COMP0000019,A002850,2025-12-02,TOO_MANY_CALLS,RESOLVED
COMP0000020,A001133,2026-08-07,TOO_MANY_CALLS,OPEN
COMP0000021,A002341,2026-08-03,AGENT_BEHAVIOR,RESOLVED
COMP0000022,A000953,2026-06-26,WRONG_PERSON,OPEN
COMP0000023,A001185,2026-06-08,AGENT_BEHAVIOR,OPEN
COMP0000024,A000403,2026-07-20,TOO_MANY_CALLS,RESOLVED
COMP0000025,A001825,2026-01-01,TOO_MANY_CALLS,CLOSED
COMP0000026,A002002,2025-09-27,WRONG_PERSON,CLOSED
COMP0000027,A001731,2026-08-01,WRONG_PERSON,OPEN
COMP0000028,A002730,2026-06-02,WRONG_PERSON,RESOLVED
COMP0000029,A002638,2026-04-21,WRONG_PERSON,CLOSED
COMP0000030,A003473,2026-03-07,AGENT_BEHAVIOR,RESOLVED
COMP0000031,A002755,2026-08-06,WRONG_PERSON,OPEN
COMP0000032,A002596,2026-05-21,TOO_MANY_CALLS,OPEN
COMP0000033,A004116,2025-10-23,AGENT_BEHAVIOR,CLOSED
COMP0000034,A002726,2025-11-05,AGENT_BEHAVIOR,RESOLVED
COMP0000035,A004091,2026-07-22,TOO_MANY_CALLS,RESOLVED
COMP0000036,A001837,2025-09-17,WRONG_PERSON,CLOSED
COMP0000037,A002849,2026-01-04,TOO_MANY_CALLS,OPEN
COMP0000038,A002667,2026-08-10,AGENT_BEHAVIOR,OPEN
COMP0000039,A003535,2026-02-05,OTHER,CLOSED
COMP0000040,A003479,2026-02-11,AGENT_BEHAVIOR,OPEN
COMP0000041,A003761,2026-06-07,AGENT_BEHAVIOR,RESOLVED
COMP0000042,A003003,2025-10-16,TOO_MANY_CALLS,RESOLVED
COMP0000043,A001988,2026-08-02,AGENT_BEHAVIOR,OPEN
COMP0000044,A001250,2026-02-20,TOO_MANY_CALLS,CLOSED
COMP0000045,A000619,2026-02-01,TOO_MANY_CALLS,CLOSED
COMP0000046,A001074,2026-07-26,AGENT_BEHAVIOR,OPEN
COMP0000047,A002592,2026-08-25,OTHER,OPEN
COMP0000048,A001865,2026-02-02,TOO_MANY_CALLS,CLOSED
COMP0000049,A002283,2026-01-03,AGENT_BEHAVIOR,OPEN
COMP0000050,A001251,2025-09-04,AGENT_BEHAVIOR,OPEN
COMP0000051,A002823,2025-12-26,AGENT_BEHAVIOR,RESOLVED
COMP0000052,A002792,2026-05-01,OTHER,RESOLVED
COMP0000053,A000175,2026-05-24,OTHER,RESOLVED
COMP0000054,A002580,2025-12-13,WRONG_PERSON,RESOLVED
COMP0000055,A001653,2026-03-02,TOO_MANY_CALLS,CLOSED
COMP0000056,A001767,2025-12-20,OTHER,CLOSED
COMP0000057,A003558,2026-01-25,AGENT_BEHAVIOR,OPEN
COMP0000058,A004151,2026-06-14,TOO_MANY_CALLS,OPEN
COMP0000059,A000362,2026-04-16,OTHER,RESOLVED
COMP0000060,A000140,2026-04-04,OTHER,OPEN
COMP0000061,A003846,2025-10-22,TOO_MANY_CALLS,RESOLVED
COMP0000062,A001468,2026-02-12,TOO_MANY_CALLS,RESOLVED
COMP0000063,A001473,2026-04-12,TOO_MANY_CALLS,CLOSED
COMP0000064,A002023,2026-01-15,WRONG_PERSON,RESOLVED
COMP0000065,A002899,2025-10-18,AGENT_BEHAVIOR,CLOSED
COMP0000066,A002770,2026-03-26,AGENT_BEHAVIOR,CLOSED
COMP0000067,A002636,2025-11-02,WRONG_PERSON,CLOSED
COMP0000068,A000257,2025-12-11,OTHER,CLOSED
COMP0000069,A001160,2026-01-20,OTHER,RESOLVED
COMP0000070,A000895,2025-11-01,WRONG_PERSON,RESOLVED
COMP0000071,A003232,2026-02-15,WRONG_PERSON,OPEN
COMP0000072,A000184,2026-04-10,TOO_MANY_CALLS,OPEN
COMP0000073,A002297,2026-05-09,OTHER,OPEN
COMP0000074,A002652,2026-04-11,OTHER,OPEN
COMP0000075,A001229,2025-10-18,OTHER,CLOSED
COMP0000076,A003993,2026-03-22,TOO_MANY_CALLS,CLOSED
COMP0000077,A003533,2026-04-07,OTHER,RESOLVED
COMP0000078,A000682,2026-08-19,WRONG_PERSON,RESOLVED
COMP0000079,A004088,2025-09-12,OTHER,CLOSED
COMP0000080,A002970,2026-04-19,OTHER,OPEN
COMP0000081,A002363,2025-12-03,TOO_MANY_CALLS,OPEN
COMP0000082,A001588,2026-08-25,TOO_MANY_CALLS,RESOLVED
COMP0000083,A002886,2025-09-09,OTHER,OPEN
COMP0000084,A000731,2025-10-15,AGENT_BEHAVIOR,CLOSED
COMP0000085,A001660,2026-08-18,AGENT_BEHAVIOR,RESOLVED
COMP0000086,A001721,2026-04-09,OTHER,CLOSED
COMP0000087,A000047,2025-11-15,WRONG_PERSON,OPEN
COMP0000088,A002006,2026-07-12,OTHER,OPEN
COMP0000089,A003573,2026-08-19,OTHER,CLOSED
COMP0000090,A001085,2025-09-13,WRONG_PERSON,RESOLVED
COMP0000091,A003968,2025-09-21,TOO_MANY_CALLS,RESOLVED
COMP0000092,A000601,2025-12-03,WRONG_PERSON,CLOSED
COMP0000093,A000434,2026-04-27,OTHER,CLOSED
COMP0000094,A003699,2025-09-07,OTHER,CLOSED
COMP0000095,A004140,2026-06-22,AGENT_BEHAVIOR,RESOLVED
COMP0000096,A002544,2026-03-15,WRONG_PERSON,OPEN
COMP0000097,A000956,2026-08-23,WRONG_PERSON,OPEN
COMP0000098,A002934,2025-11-13,OTHER,OPEN
COMP0000099,A000258,2026-02-08,AGENT_BEHAVIOR,OPEN
COMP0000100,A001205,2026-02-15,TOO_MANY_CALLS,CLOSED
COMP0000101,A002739,2026-03-08,WRONG_PERSON,CLOSED
COMP0000102,A001366,2025-12-22,OTHER,CLOSED
COMP0000103,A001776,2026-04-10,TOO_MANY_CALLS,RESOLVED
COMP0000104,A002081,2025-12-24,AGENT_BEHAVIOR,RESOLVED
COMP0000105,A004063,2026-06-18,TOO_MANY_CALLS,RESOLVED
COMP0000106,A002223,2026-06-05,OTHER,CLOSED
COMP0000107,A002351,2026-03-22,AGENT_BEHAVIOR,OPEN
COMP0000108,A002834,2026-04-18,WRONG_PERSON,RESOLVED
COMP0000109,A001444,2026-03-03,WRONG_PERSON,OPEN
COMP0000110,A001783,2025-10-26,AGENT_BEHAVIOR,RESOLVED
COMP0000111,A003259,2026-03-23,AGENT_BEHAVIOR,CLOSED
COMP0000112,A001861,2026-07-16,TOO_MANY_CALLS,RESOLVED
COMP0000113,A000637,2025-10-11,TOO_MANY_CALLS,OPEN
COMP0000114,A002866,2025-09-23,OTHER,RESOLVED
COMP0000115,A002102,2025-09-18,TOO_MANY_CALLS,RESOLVED
COMP0000116,A002159,2026-06-09,OTHER,CLOSED
COMP0000117,A000286,2025-11-05,OTHER,OPEN
COMP0000118,A003864,2026-05-17,OTHER,RESOLVED
COMP0000119,A000438,2026-05-17,AGENT_BEHAVIOR,OPEN
COMP0000120,A000326,2026-06-17,AGENT_BEHAVIOR,OPEN
COMP0000121,A001357,2026-06-15,AGENT_BEHAVIOR,RESOLVED
COMP0000122,A000883,2026-05-11,OTHER,RESOLVED
COMP0000123,A002993,2025-10-02,TOO_MANY_CALLS,OPEN
COMP0000124,A000514,2025-10-17,TOO_MANY_CALLS,OPEN
COMP0000125,A003357,2026-06-26,WRONG_PERSON,OPEN
COMP0000126,A002526,2026-08-02,WRONG_PERSON,RESOLVED
COMP0000127,A003612,2026-06-26,AGENT_BEHAVIOR,RESOLVED
COMP0000128,A002647,2026-05-21,AGENT_BEHAVIOR,OPEN
COMP0000129,A002568,2026-08-09,OTHER,OPEN
COMP0000130,A000964,2026-07-27,WRONG_PERSON,OPEN
COMP0000131,A003396,2025-11-20,AGENT_BEHAVIOR,OPEN
COMP0000132,A002200,2026-03-08,OTHER,RESOLVED
COMP0000133,A001936,2026-07-05,OTHER,RESOLVED
COMP0000134,A002977,2026-04-27,TOO_MANY_CALLS,OPEN
COMP0000135,A001982,2025-10-11,WRONG_PERSON,CLOSED
COMP0000136,A001660,2026-01-04,TOO_MANY_CALLS,OPEN
COMP0000137,A002439,2025-09-16,AGENT_BEHAVIOR,RESOLVED
COMP0000138,A002374,2026-08-15,OTHER,OPEN
COMP0000139,A002199,2026-04-25,TOO_MANY_CALLS,CLOSED
COMP0000140,A001234,2026-07-19,OTHER,OPEN
COMP0000141,A003285,2025-09-11,WRONG_PERSON,CLOSED
COMP0000142,A000801,2026-05-14,TOO_MANY_CALLS,CLOSED
COMP0000143,A001635,2025-11-25,WRONG_PERSON,OPEN
COMP0000144,A002090,2026-04-24,OTHER,OPEN
COMP0000145,A001104,2026-07-27,WRONG_PERSON,OPEN
COMP0000146,A001078,2026-01-11,AGENT_BEHAVIOR,RESOLVED
COMP0000147,A000919,2026-08-11,OTHER,OPEN
COMP0000148,A002753,2026-08-11,TOO_MANY_CALLS,OPEN
COMP0000149,A000945,2025-10-26,AGENT_BEHAVIOR,RESOLVED
COMP0000150,A003550,2026-04-02,TOO_MANY_CALLS,CLOSED
COMP0000151,A001223,2026-02-02,OTHER,RESOLVED
COMP0000152,A003475,2026-02-08,TOO_MANY_CALLS,OPEN
COMP0000153,A000162,2026-05-08,OTHER,RESOLVED
COMP0000154,A000876,2025-10-26,OTHER,CLOSED
COMP0000155,A004108,2026-05-22,WRONG_PERSON,OPEN
COMP0000156,A001057,2026-04-11,TOO_MANY_CALLS,RESOLVED
COMP0000157,A003663,2026-04-08,TOO_MANY_CALLS,RESOLVED
COMP0000158,A003873,2025-09-04,OTHER,CLOSED
COMP0000159,A001807,2026-04-18,AGENT_BEHAVIOR,CLOSED
COMP0000160,A003987,2026-03-03,TOO_MANY_CALLS,RESOLVED
COMP0000161,A000761,2026-06-01,TOO_MANY_CALLS,CLOSED
COMP0000162,A001895,2025-11-17,TOO_MANY_CALLS,RESOLVED
COMP0000163,A003505,2025-10-02,TOO_MANY_CALLS,CLOSED
