targeting_id,account_id,target_date,campaign_id,strategy,priority_band,propensity_score
T000000001,A001453,2025-09-18,C001,OLD_TARGETING,MEDIUM,0.79
T000000002,A000512,2025-09-12,C001,OLD_TARGETING,LOW,0.741
T000000003,A002393,2025-09-04,C001,OLD_TARGETING,LOW,0.717
T000000004,A002304,2025-09-23,C001,OLD_TARGETING,MEDIUM,0.319
T000000005,A001576,2025-09-11,C001,OLD_TARGETING,HIGH,0.821
T000000006,A000064,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.66
T000000007,A001034,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.322
T000000008,A003679,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.625
T000000009,A002941,2025-09-20,C001,OLD_TARGETING,HIGH,0.703
T000000010,A003709,2025-09-22,C001,OLD_TARGETING,HIGH,0.514
T000000011,A003765,2025-09-03,C001,OLD_TARGETING,HIGH,0.933
T000000012,A000802,2025-09-14,C001,OLD_TARGETING,MEDIUM,0.248
T000000013,A001147,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.378
T000000014,A000655,2025-09-10,C001,OLD_TARGETING,LOW,0.822
T000000015,A000766,2025-09-07,C001,OLD_TARGETING,LOW,0.339
T000000016,A002884,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.501
T000000017,A002437,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.41
T000000018,A003442,2025-09-18,C001,OLD_TARGETING,LOW,0.905
T000000019,A001125,2025-09-02,C001,OLD_TARGETING,LOW,0.885
T000000020,A003512,2025-09-23,C001,OLD_TARGETING,MEDIUM,0.296
T000000021,A002248,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.386
T000000022,A001639,2025-09-24,C001,OLD_TARGETING,LOW,0.581
T000000023,A000283,2025-09-15,C001,OLD_TARGETING,HIGH,0.829
T000000024,A001126,2025-09-17,C001,OLD_TARGETING,HIGH,0.82
T000000025,A001250,2025-09-21,C001,OLD_TARGETING,MEDIUM,0.313
T000000026,A001427,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.587
T000000027,A001440,2025-09-12,C001,OLD_TARGETING,HIGH,0.526
T000000028,A002130,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.945
T000000029,A001313,2025-09-13,C001,OLD_TARGETING,LOW,0.675
T000000030,A003162,2025-09-17,C001,OLD_TARGETING,HIGH,0.942
T000000031,A000582,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.154
T000000032,A001537,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.361
T000000033,A000552,2025-09-09,C001,OLD_TARGETING,MEDIUM,0.921
T000000034,A001600,2025-09-23,C001,OLD_TARGETING,MEDIUM,0.384
T000000035,A000417,2025-09-01,C001,OLD_TARGETING,LOW,0.226
T000000036,A000908,2025-09-07,C001,OLD_TARGETING,HIGH,0.144
T000000037,A000802,2025-09-20,C001,OLD_TARGETING,LOW,0.209
T000000038,A003905,2025-09-22,C001,OLD_TARGETING,MEDIUM,0.373
T000000039,A003907,2025-09-11,C001,OLD_TARGETING,LOW,0.957
