payment_id,account_id,payment_timestamp,amount,payment_status,payment_method,reported_channel
PAY000000001,A002703,2025-11-11 20:00:00,13400.83,FAILED,CASH,Self_Pay
PAY000000002,A003809,2025-12-04 12:00:00,5430.49,SUCCESS,CASH,Human
PAY000000003,A002121,2025-12-20 10:00:00,6165.05,FAILED,CARD,AI Voice
PAY000000004,A000503,2026-08-17 14:00:00,3824.06,FAILED,CASH,WhatsApp
PAY000000005,A000397,2026-06-21 16:00:00,7027.67,FAILED,CASH,AI Voice
PAY000000006,A001010,2025-10-10 15:00:00,6164.25,SUCCESS,BANK,WhatsApp
PAY000000007,A003030,2026-05-09 07:00:00,9832.0,SUCCESS,BANK,Human
PAY000000008,A001997,2026-03-22 15:00:00,6267.63,SUCCESS,UPI,WhatsApp
PAY000000009,A000131,2025-12-13 08:00:00,10718.84,SUCCESS,CASH,AI Voice
PAY000000010,A000950,2026-03-05 09:00:00,14677.77,SUCCESS,BANK,Human
PAY000000011,A002954,2025-12-08 10:00:00,6361.27,SUCCESS,BANK,Human
PAY000000012,A002117,2026-01-06 13:00:00,6446.53,FAILED,BANK,Human
PAY000000013,A001340,2026-04-11 09:00:00,10137.57,SUCCESS,BANK,WhatsApp
PAY000000014,A000726,2025-09-05 10:00:00,4597.79,SUCCESS,CARD,WhatsApp
PAY000000015,A001459,2025-12-04 08:00:00,6687.07,FAILED,CARD,Human
PAY000000016,A002243,2026-03-07 21:00:00,13829.43,SUCCESS,UPI,Human
PAY000000017,A003779,2025-12-04 15:00:00,4438.5,SUCCESS,UPI,Self_Pay
PAY000000018,A003550,2025-09-27 07:00:00,14996.07,SUCCESS,BANK,AI Voice
PAY000000019,A003285,2026-02-15 11:00:00,4260.84,SUCCESS,CARD,AI Voice
PAY000000020,A001049,2025-11-02 10:00:00,11697.79,SUCCESS,UPI,Self_Pay
PAY000000021,A002533,2025-11-04 19:00:00,1191.05,FAILED,CARD,Human
PAY000000022,A003802,2026-03-23 16:00:00,7255.0,FAILED,CARD,WhatsApp
PAY000000023,A001758,2026-06-22 20:00:00,12799.0,SUCCESS,CARD,Field
PAY000000024,A002825,2026-07-26 19:00:00,7818.28,FAILED,CASH,AI Voice
PAY000000025,A003345,2026-05-04 09:00:00,6493.13,SUCCESS,UPI,WhatsApp
PAY000000026,A002729,2026-08-11 15:00:00,10232.0,SUCCESS,BANK,Human
PAY000000027,A003271,2026-01-24 11:00:00,4975.89,FAILED,CARD,AI Voice
