event_id,account_id,event_timestamp,event_type
WA00000001,A002340,2026-05-26 16:00:00,READ
WA00000002,A003135,2026-07-22 11:00:00,SENT
WA00000003,A000920,2026-04-08 21:00:00,DELIVERED
WA00000004,A000826,2026-04-13 11:00:00,SENT
WA00000005,A003654,2026-01-20 07:00:00,DELIVERED
WA00000006,A003996,2026-03-19 09:00:00,DELIVERED
WA00000007,A000096,2026-07-02 15:00:00,READ
WA00000008,A000412,2026-04-22 14:00:00,DELIVERED
WA00000009,A004022,2026-06-16 07:00:00,DELIVERED
WA00000010,A002612,2025-12-17 15:00:00,READ
WA00000011,A001754,2026-02-05 20:00:00,READ
WA00000012,A002392,2025-10-27 20:00:00,SENT
WA00000013,A002050,2025-10-14 07:00:00,REPLIED
WA00000014,A004051,2025-12-18 09:00:00,DELIVERED
WA00000015,A003918,2026-08-24 21:00:00,READ
WA00000016,A000786,2025-12-23 19:00:00,DELIVERED
WA00000017,A000997,2026-03-26 09:00:00,SENT
WA00000018,A002416,2026-07-04 13:00:00,DELIVERED
WA00000019,A000522,2026-04-03 12:00:00,DELIVERED
WA00000020,A001730,2025-09-05 08:00:00,REPLIED
WA00000021,A002196,2025-11-21 08:00:00,REPLIED
WA00000022,A003046,2026-01-25 15:00:00,READ
WA00000023,A002603,2026-03-24 22:00:00,DELIVERED
WA00000024,A000465,2025-12-10 14:00:00,DELIVERED
WA00000025,A001802,2026-06-26 21:00:00,READ
WA00000026,A003052,2026-03-17 11:00:00,DELIVERED
WA00000027,A001525,2025-10-23 11:00:00,FAILED
WA00000028,A001701,2026-05-11 14:00:00,DELIVERED
WA00000029,A003818,2025-10-21 07:00:00,SENT
WA00000030,A000310,2026-07-08 07:00:00,FAILED
WA00000031,A000802,2025-11-10 16:00:00,DELIVERED
WA00000032,A004047,2026-02-01 20:00:00,REPLIED
WA00000033,A003427,2026-06-17 22:00:00,REPLIED
WA00000034,A000732,2026-07-20 10:00:00,REPLIED
WA00000035,A000990,2026-04-22 20:00:00,DELIVERED
WA00000036,A002780,2025-12-09 09:00:00,DELIVERED
WA00000037,A003324,2026-08-13 19:00:00,READ
WA00000038,A000394,2025-11-22 10:00:00,FAILED
WA00000039,A001392,2025-10-01 13:00:00,READ
WA00000040,A003495,2025-09-22 10:00:00,DELIVERED
WA00000041,A002095,2025-11-04 22:00:00,DELIVERED
WA00000042,A002417,2026-02-19 08:00:00,SENT
WA00000043,A001775,2026-07-11 12:00:00,SENT
WA00000044,A001048,2026-03-03 07:00:00,DELIVERED
WA00000045,A000334,2025-12-08 22:00:00,SENT
WA00000046,A000474,2026-04-21 12:00:00,REPLIED
WA00000047,A000475,2025-09-06 08:00:00,DELIVERED
WA00000048,A001427,2026-06-09 07:00:00,DELIVERED
WA00000049,A001845,2026-07-23 07:00:00,SENT
WA00000050,A002896,2026-08-03 10:00:00,REPLIED
WA00000051,A002955,2025-12-12 22:00:00,DELIVERED
WA00000052,A000408,2025-10-26 22:00:00,DELIVERED
WA00000053,A001562,2026-06-02 15:00:00,SENT
WA00000054,A002528,2026-02-13 12:00:00,DELIVERED
WA00000055,A001046,2025-09-12 10:00:00,SENT
WA00000056,A003886,2025-12-04 14:00:00,REPLIED
WA00000057,A003133,2026-06-20 16:00:00,DELIVERED
WA00000058,A000565,2026-08-08 16:00:00,FAILED
WA00000059,A003259,2026-07-27 08:00:00,DELIVERED
WA00000060,A002248,2026-05-06 14:00:00,FAILED
WA00000061,A002085,2025-10-12 11:00:00,SENT
WA00000062,A004005,2026-06-14 17:00:00,DELIVERED
WA00000063,A003275,2025-12-27 11:00:00,READ
WA00000064,A001434,2025-12-13 19:00:00,REPLIED
WA00000065,A001363,2026-03-24 16:00:00,FAILED
WA00000066,A001797,2025-10-26 21:00:00,DELIVERED
WA00000067,A004175,2025-12-18 12:00:00,REPLIED
WA00000068,A000512,2025-11-18 22:00:00,READ
WA00000069,A001420,2025-11-27 15:00:00,REPLIED
WA00000070,A002622,2025-12-12 11:00:00,SENT
WA00000071,A000213,2026-08-10 08:00:00,FAILED
WA00000072,A001113,2025-12-14 15:00:00,REPLIED
WA00000073,A001598,2026-04-18 20:00:00,FAILED
WA00000074,A001183,2026-01-21 20:00:00,REPLIED
