table,key_column,purpose,primary_key
borrowers,borrower_id,Unique borrower identifier,borrower_id
accounts,account_id,Unique collection account,account_id
agents,agent_id,Collector identifier; aliases intentionally exist,agent_id
agent_sessions,session_id,Agent work-session identifier,session_id
campaigns,campaign_id,Campaign identifier,campaign_id
daily_targeting,targeting_id,Daily targeting event,targeting_id
calls,call_id,Call event identifier,call_id
call_attempts,attempt_id,Attempt identifier,attempt_id
call_dispositions,disposition_id,Disposition event identifier,disposition_id
whatsapp_events,event_id,WhatsApp event identifier,event_id
sms_events,sms_id,SMS event identifier,sms_id
field_visits,visit_id,Field visit identifier,visit_id
promises_to_pay,ptp_id,Promise-to-pay identifier,ptp_id
payments,payment_id,Payment event identifier; duplicates intentionally exist,payment_id
vendor_telephony,vendor + raw_code,Maps vendor response codes to standard meanings,"vendor, raw_code"
complaints,complaint_id,Complaint identifier,complaint_id
account_status_history,history_id,Historical account-status event,history_id
