ptp_id,account_id,ptp_created_at,promised_due_date,promised_amount,ptp_status,source_channel
PTP00000001,A002759,2026-04-25 20:00:00,2026-05-09 20:00:00,2492.52,KEPT,WhatsApp
PTP00000002,A000999,2026-02-17 10:00:00,2026-02-20 10:00:00,10747.4,PENDING,AI Voice
PTP00000003,A002952,2026-06-27 15:00:00,2026-07-11 15:00:00,3475.07,BROKEN,AI Voice
PTP00000004,A002449,2025-10-09 16:00:00,2025-10-12 16:00:00,5816.6,BROKEN,WhatsApp
PTP00000005,A002172,2026-06-22 15:00:00,2026-06-29 15:00:00,13774.43,KEPT,AI Voice
PTP00000006,A003843,2026-08-13 10:00:00,2026-08-27 10:00:00,14565.9,KEPT,Field
PTP00000007,A003930,2026-06-27 14:00:00,2026-06-28 14:00:00,3652.75,BROKEN,WhatsApp
PTP00000008,A001753,2026-02-19 18:00:00,2026-02-26 18:00:00,3997.32,KEPT,Human
PTP00000009,A003691,2025-11-01 17:00:00,2025-11-04 17:00:00,9536.38,KEPT,WhatsApp
PTP00000010,A000392,2026-07-21 10:00:00,2026-08-04 10:00:00,2583.98,KEPT,Human
PTP00000011,A003209,2026-08-21 09:00:00,2026-08-28 09:00:00,3389.94,KEPT,Human
PTP00000012,A003402,2026-06-01 11:00:00,2026-06-08 11:00:00,8336.13,BROKEN,Field
PTP00000013,A000044,2026-06-13 11:00:00,2026-06-14 11:00:00,14778.57,PENDING,WhatsApp
PTP00000014,A001712,2026-08-27 13:00:00,2026-09-10 13:00:00,13850.35,BROKEN,Human
PTP00000015,A002926,2026-01-15 09:00:00,2026-01-16 09:00:00,5816.01,KEPT,Field
PTP00000016,A002312,2026-05-01 13:00:00,2026-05-04 13:00:00,9226.58,KEPT,Field
PTP00000017,A000597,2025-10-25 16:00:00,2025-10-26 16:00:00,12754.39,PENDING,WhatsApp
PTP00000018,A000926,2026-06-01 16:00:00,2026-06-04 16:00:00,11451.22,BROKEN,Human
PTP00000019,A001504,2026-06-22 09:00:00,2026-06-25 09:00:00,13725.9,KEPT,Field
PTP00000020,A002413,2026-02-24 09:00:00,2026-03-03 09:00:00,10205.53,PENDING,Human
PTP00000021,A002466,2026-05-06 16:00:00,2026-05-20 16:00:00,9033.12,BROKEN,Field
PTP00000022,A000446,2026-04-18 16:00:00,2026-04-25 16:00:00,7336.09,KEPT,AI Voice
PTP00000023,A003339,2026-03-18 13:00:00,2026-04-01 13:00:00,2319.01,KEPT,AI Voice
PTP00000024,A002509,2026-04-06 10:00:00,2026-04-07 10:00:00,3319.73,KEPT,Human
PTP00000025,A000742,2026-02-19 16:00:00,2026-02-26 16:00:00,2578.17,KEPT,AI Voice
PTP00000026,A002557,2025-11-14 13:00:00,2025-11-28 13:00:00,6668.38,KEPT,WhatsApp
PTP00000027,A004172,2026-03-03 18:00:00,2026-03-10 18:00:00,13476.56,KEPT,Human
PTP00000028,A002863,2026-04-01 17:00:00,2026-04-08 17:00:00,7566.78,PENDING,Field
PTP00000029,A002138,2026-03-10 16:00:00,2026-03-13 16:00:00,8144.03,BROKEN,Human
PTP00000030,A001260,2026-04-25 16:00:00,2026-05-02 16:00:00,7855.89,BROKEN,WhatsApp
