sms_id,account_id,event_timestamp,event_type
SMS00000001,A000420,2026-08-24 10:00:00,DELIVERED
SMS00000002,A003815,2025-09-01 18:00:00,DELIVERED
SMS00000003,A000513,2026-04-18 19:00:00,DELIVERED
SMS00000004,A000992,2026-04-26 13:00:00,SENT
SMS00000005,A002758,2026-03-09 14:00:00,DELIVERED
SMS00000006,A000165,2025-10-12 08:00:00,DELIVERED
SMS00000007,A001920,2026-01-10 19:00:00,DELIVERED
SMS00000008,A003243,2026-01-01 19:00:00,DELIVERED
SMS00000009,A000205,2025-10-03 18:00:00,DELIVERED
SMS00000010,A004064,2026-05-27 21:00:00,DELIVERED
SMS00000011,A001354,2026-07-22 14:00:00,DELIVERED
SMS00000012,A001407,2025-12-13 21:00:00,DELIVERED
SMS00000013,A000055,2025-09-22 12:00:00,DELIVERED
SMS00000014,A002050,2025-09-18 09:00:00,DELIVERED
SMS00000015,A001545,2026-07-05 07:00:00,DELIVERED
SMS00000016,A002404,2026-06-02 19:00:00,DELIVERED
SMS00000017,A001905,2026-03-07 22:00:00,SENT
SMS00000018,A002959,2026-05-18 17:00:00,DELIVERED
SMS00000019,A003652,2025-09-25 16:00:00,FAILED
SMS00000020,A000793,2026-07-06 09:00:00,FAILED
SMS00000021,A004176,2026-08-12 21:00:00,DELIVERED
SMS00000022,A001294,2026-07-24 07:00:00,SENT
SMS00000023,A002889,2025-09-21 18:00:00,FAILED
SMS00000024,A002641,2026-07-05 15:00:00,DELIVERED
SMS00000025,A003783,2025-12-20 20:00:00,DELIVERED
SMS00000026,A003952,2025-12-19 12:00:00,DELIVERED
SMS00000027,A002412,2026-02-21 15:00:00,DELIVERED
SMS00000028,A002438,2026-06-09 17:00:00,DELIVERED
SMS00000029,A002375,2025-09-17 16:00:00,SENT
SMS00000030,A002695,2025-10-10 09:00:00,DELIVERED
SMS00000031,A000265,2025-11-18 15:00:00,DELIVERED
SMS00000032,A001372,2025-11-07 14:00:00,DELIVERED
SMS00000033,A000380,2026-04-19 15:00:00,DELIVERED
SMS00000034,A003468,2025-11-15 13:00:00,DELIVERED
SMS00000035,A002423,2026-02-02 19:00:00,DELIVERED
SMS00000036,A003355,2026-04-11 09:00:00,DELIVERED
SMS00000037,A002366,2026-08-27 15:00:00,DELIVERED
SMS00000038,A002433,2026-07-11 18:00:00,DELIVERED
SMS00000039,A000087,2026-02-01 19:00:00,DELIVERED
SMS00000040,A003940,2026-04-24 14:00:00,FAILED
SMS00000041,A000254,2025-12-18 11:00:00,DELIVERED
SMS00000042,A001997,2026-04-08 19:00:00,DELIVERED
SMS00000043,A002946,2026-01-27 11:00:00,DELIVERED
SMS00000044,A000306,2026-04-21 17:00:00,DELIVERED
SMS00000045,A001525,2026-05-10 17:00:00,DELIVERED
SMS00000046,A000787,2026-04-13 09:00:00,DELIVERED
SMS00000047,A002053,2026-03-26 22:00:00,DELIVERED
SMS00000048,A001456,2026-04-06 22:00:00,DELIVERED
SMS00000049,A001817,2026-03-11 20:00:00,DELIVERED
SMS00000050,A000513,2026-06-14 16:00:00,DELIVERED
SMS00000051,A000391,2026-08-01 18:00:00,DELIVERED
SMS00000052,A001147,2026-07-15 11:00:00,DELIVERED
SMS00000053,A000940,2026-07-21 20:00:00,DELIVERED
SMS00000054,A000297,2026-07-10 11:00:00,DELIVERED
SMS00000055,A003061,2026-01-01 12:00:00,DELIVERED
SMS00000056,A001202,2026-01-08 09:00:00,DELIVERED
SMS00000057,A003448,2026-02-03 20:00:00,DELIVERED
SMS00000058,A001651,2026-07-20 22:00:00,DELIVERED
SMS00000059,A002097,2026-04-20 21:00:00,DELIVERED
SMS00000060,A003777,2026-05-14 17:00:00,DELIVERED
SMS00000061,A002045,2025-10-19 09:00:00,DELIVERED
SMS00000062,A000579,2026-03-19 15:00:00,DELIVERED
SMS00000063,A001183,2026-01-12 17:00:00,DELIVERED
SMS00000064,A001311,2026-04-09 22:00:00,DELIVERED
SMS00000065,A002533,2026-01-05 13:00:00,DELIVERED
SMS00000066,A003963,2025-12-17 22:00:00,DELIVERED
SMS00000067,A003919,2025-10-25 08:00:00,DELIVERED
SMS00000068,A000549,2026-06-03 08:00:00,DELIVERED
SMS00000069,A004104,2025-09-25 17:00:00,DELIVERED
SMS00000070,A002588,2026-07-26 10:00:00,FAILED
SMS00000071,A003308,2025-10-05 19:00:00,DELIVERED
SMS00000072,A003357,2026-05-26 22:00:00,SENT
SMS00000073,A003207,2026-07-11 13:00:00,DELIVERED
SMS00000074,A003175,2025-09-23 07:00:00,DELIVERED
SMS00000075,A002786,2025-11-10 07:00:00,SENT
SMS00000076,A001858,2026-06-04 14:00:00,SENT
SMS00000077,A001088,2026-08-03 18:00:00,SENT
SMS00000078,A000611,2026-06-10 14:00:00,SENT
SMS00000079,A003085,2026-07-22 20:00:00,DELIVERED
SMS00000080,A003063,2026-01-14 15:00:00,DELIVERED
SMS00000081,A001528,2026-03-10 22:00:00,DELIVERED
SMS00000082,A002009,2026-05-27 11:00:00,DELIVERED
SMS00000083,A000488,2026-08-17 07:00:00,FAILED
SMS00000084,A002426,2026-04-12 08:00:00,DELIVERED
SMS00000085,A001962,2025-11-15 10:00:00,DELIVERED
SMS00000086,A002473,2025-11-09 15:00:00,FAILED
SMS00000087,A002640,2026-08-01 13:00:00,DELIVERED
